Date,Open,High,Low,Close,Adj Close,Volume
2010-08-02,41.450001,42.439999,41.450001,42.150002,33.151165,13000
2010-08-03,41.380001,41.549999,40.910000,41.500000,32.639931,10500
2010-08-04,40.580002,40.580002,40.099998,40.580002,31.916349,4500
2010-08-05,41.049999,41.389999,40.910000,41.320000,32.498367,3300
2010-08-06,41.150002,41.150002,40.650002,41.040001,32.278145,1800
2010-08-09,41.259998,41.259998,40.900002,41.240002,32.435444,4300
2010-08-10,41.250000,41.250000,41.000000,41.000000,32.246677,1700
2010-08-11,40.970001,41.200001,40.750000,41.099998,32.325336,4200
2010-08-12,41.299999,41.389999,41.000000,41.369999,32.537689,3800
2010-08-13,40.630001,40.700001,40.549999,40.650002,31.971407,4800
2010-08-16,40.520000,40.520000,40.049999,40.049999,31.499495,1700
2010-08-17,41.090000,41.090000,40.549999,40.599998,32.173073,5200
2010-08-18,40.400002,40.689999,40.200001,40.349998,31.974962,1700
2010-08-19,41.599998,41.650002,41.209999,41.299999,32.727779,4400
2010-08-20,42.450001,42.689999,42.330002,42.599998,33.757954,9500
2010-08-23,43.299999,43.299999,42.849998,43.180000,34.217567,4700
2010-08-24,43.200001,43.490002,43.099998,43.279999,34.296810,2900
2010-08-25,42.900002,42.900002,42.599998,42.900002,33.995689,1800
2010-08-26,43.000000,43.490002,43.000000,43.480000,34.455307,900
2010-08-27,43.060001,43.299999,43.060001,43.250000,34.273037,700
2010-08-30,44.000000,44.000000,43.509998,43.549999,34.510769,5900
2010-08-31,43.610001,43.970001,43.259998,43.349998,34.352283,5500
2010-09-01,43.790001,43.990002,43.470001,43.779999,34.693035,4400
2010-09-02,43.250000,43.389999,42.540001,42.560001,33.726257,1400
2010-09-03,43.320000,44.200001,43.200001,43.650002,34.590027,10600
2010-09-07,43.599998,43.639999,42.900002,43.200001,34.233418,2000
2010-09-08,43.259998,43.259998,42.900002,42.950001,34.035313,1200
2010-09-09,42.750000,43.490002,42.750000,43.259998,34.280968,3700
2010-09-10,43.119999,43.119999,42.869999,42.900002,33.995689,3700
2010-09-13,43.840000,43.860001,43.349998,43.700001,34.629639,2900
2010-09-14,44.000000,44.049999,43.650002,44.000000,34.867374,6900
2010-09-15,44.049999,44.419998,43.900002,44.419998,35.200199,12100
2010-09-16,44.459999,44.459999,44.000000,44.299999,35.105106,2900
2010-09-17,45.549999,45.990002,45.549999,45.990002,36.444332,3300
2010-09-20,46.400002,46.599998,46.299999,46.400002,36.769230,4000
2010-09-21,46.869999,47.139999,46.869999,47.049999,37.284313,6500
2010-09-22,47.150002,47.200001,47.000000,47.200001,37.403183,2600
2010-09-23,45.410000,45.750000,45.410000,45.529999,36.079811,6300
2010-09-24,46.009998,46.250000,46.009998,46.250000,36.650368,2300
2010-09-27,46.000000,46.090000,45.650002,45.849998,36.333389,8000
2010-09-28,45.860001,46.139999,45.750000,46.139999,36.563194,6300
2010-09-29,44.900002,45.400002,44.799999,44.900002,35.580570,3300
2010-09-30,46.250000,46.290001,45.000000,45.849998,36.333389,5900
2010-10-01,45.750000,46.290001,45.750000,46.279999,36.674129,3000
2010-10-04,46.840000,46.889999,46.040001,46.040001,36.483952,12700
2010-10-05,46.450001,47.000000,46.450001,47.000000,37.244705,6900
2010-10-06,47.250000,47.459999,47.000000,47.299999,37.482422,8900
2010-10-07,47.099998,47.639999,47.000000,47.619999,37.736004,12900
2010-10-08,47.700001,47.790001,47.400002,47.790001,37.870720,8300
2010-10-11,47.799999,47.799999,47.799999,47.799999,37.878647,4500
2010-10-12,47.950001,48.189999,47.520000,47.730000,37.823177,9900
2010-10-13,48.299999,48.419998,47.959999,48.250000,38.235245,3800
2010-10-14,47.619999,47.830002,47.389999,47.820000,37.894485,3800
2010-10-15,46.040001,46.040001,45.500000,45.650002,36.174900,11400
2010-10-18,44.959999,44.959999,44.500000,44.700001,35.422073,15400
2010-10-19,44.849998,44.849998,44.509998,44.509998,35.271515,3500
2010-10-20,45.599998,45.599998,45.060001,45.450001,36.016407,5600
2010-10-21,44.700001,44.700001,44.259998,44.650002,35.382465,6200
2010-10-22,45.200001,45.200001,44.900002,44.900002,35.580570,900
2010-10-25,44.360001,44.910000,44.009998,44.799999,35.501324,35400
2010-10-26,44.950001,45.200001,44.900002,45.139999,35.770752,14400
2010-10-27,43.880001,43.880001,43.500000,43.840000,34.740589,3700
2010-10-28,43.849998,44.400002,43.700001,44.340000,35.136803,4800
2010-10-29,44.849998,45.040001,44.849998,45.000000,35.659809,800
2010-11-01,46.299999,46.540001,45.849998,46.450001,36.808853,7600
2010-11-02,47.090000,47.090000,46.500000,47.090000,37.316010,3800
