Date,Open,High,Low,Close,Adj Close,Volume
2010-08-02,8.740000,8.740000,8.648000,8.648000,8.309794,5500
2010-08-03,8.680000,8.680000,8.590000,8.590000,8.254064,11000
2010-08-04,8.478000,8.540000,8.458000,8.540000,8.206018,9500
2010-08-05,8.484000,8.518000,8.470000,8.518000,8.184878,4500
2010-08-06,8.454000,8.598000,8.454000,8.530000,8.196408,11500
2010-08-09,8.560000,8.666000,8.560000,8.654000,8.315559,6000
2010-08-10,8.496000,8.496000,8.400000,8.440000,8.109928,20000
2010-08-11,8.300000,8.310000,8.270000,8.270000,7.946579,8000
2010-08-12,8.046000,8.048000,7.972000,8.020000,7.706355,9000
2010-08-13,8.110000,8.146000,8.070000,8.130000,7.812052,21000
2010-08-16,8.160000,8.262000,8.152000,8.152000,7.833192,15000
2010-08-17,8.382000,8.460000,8.382000,8.460000,8.129147,2000
2010-08-18,8.186000,8.296000,8.186000,8.202000,7.881236,19000
2010-08-19,8.346000,8.358000,8.222000,8.222000,7.900454,11000
2010-08-20,7.970000,8.044000,7.940000,8.008000,7.694824,77500
2010-08-23,8.128000,8.226000,8.038000,8.038000,7.723650,7000
2010-08-24,7.840000,7.940000,7.840000,7.882000,7.573750,46500
2010-08-25,7.764000,7.764000,7.686000,7.750000,7.446913,19000
2010-08-26,8.026000,8.050000,8.008000,8.026000,7.712120,14500
2010-08-27,7.898000,8.030000,7.894000,8.030000,7.715964,17000
2010-08-30,8.000000,8.098000,7.972000,7.982000,7.669841,14000
2010-08-31,7.902000,8.080000,7.902000,8.012000,7.698667,6500
2010-09-01,8.202000,8.338000,8.202000,8.338000,8.011919,6500
2010-09-02,8.402000,8.518000,8.402000,8.518000,8.184878,9000
2010-09-03,8.544000,8.608000,8.502000,8.502000,8.169504,26500
2010-09-07,8.480000,8.480000,8.438000,8.480000,8.148366,5000
2010-09-08,8.382000,8.490000,8.382000,8.392000,8.063807,3000
2010-09-09,8.620000,8.620000,8.476000,8.476000,8.144521,16500
2010-09-10,8.492000,8.640000,8.492000,8.592000,8.255984,7500
2010-09-13,9.002000,9.026000,8.880000,8.890000,8.542330,8000
2010-09-14,8.930000,8.948000,8.862000,8.942000,8.592297,7500
2010-09-15,9.000000,9.048000,9.000000,9.000000,8.648027,6500
2010-09-16,8.978000,8.978000,8.900000,8.900000,8.551939,1500
2010-09-17,8.800000,8.800000,8.650000,8.650000,8.311715,15000
2010-09-20,8.870000,8.898000,8.764000,8.898000,8.550017,7000
2010-09-21,8.914000,8.940000,8.830000,8.872000,8.586990,16500
2010-09-22,9.044000,9.044000,9.000000,9.000000,8.710877,3500
2010-09-23,9.000000,9.000000,8.944000,8.944000,8.656676,2000
2010-09-24,9.022000,9.060000,9.022000,9.060000,8.768950,3500
2010-09-27,9.242000,9.310000,9.220000,9.232000,8.935426,12500
2010-09-28,9.586000,9.586000,9.510000,9.544000,9.237401,38000
2010-09-29,9.600000,9.600000,9.550000,9.550000,9.243210,7000
2010-09-30,9.730000,9.740000,9.666000,9.666000,9.355482,4500
2010-10-01,9.570000,9.634000,9.570000,9.570000,9.262568,30500
2010-10-04,9.500000,9.524000,9.500000,9.524000,9.218045,5500
2010-10-05,9.600000,9.800000,9.600000,9.712000,9.400005,390500
2010-10-06,9.756000,9.756000,9.756000,9.756000,9.442591,1000
2010-10-07,9.758000,9.758000,9.660000,9.660000,9.349676,5500
2010-10-08,9.690000,9.722000,9.660000,9.722000,9.409683,10500
2010-10-11,9.790000,9.808000,9.760000,9.760000,9.446463,3000
2010-10-12,10.194000,10.360000,10.182000,10.360000,10.027187,36000
