Date,Open,High,Low,Close,Adj Close,Volume
2010-08-02,12.120228,12.258327,12.071486,12.250203,7.936244,120011900
2010-08-03,12.185215,12.217710,12.095857,12.112104,7.846776,81845200
2010-08-04,12.160845,12.201462,12.087733,12.160845,7.878350,82030500
2010-08-05,12.071486,12.136475,12.038993,12.112104,7.846776,50578900
2010-08-06,11.990252,12.055240,11.844029,12.006498,7.778357,101926500
2010-08-09,12.063363,12.103980,11.949635,12.071486,7.820460,49583400
2010-08-10,11.957758,12.063363,11.884646,11.965881,7.752045,81174900
2010-08-11,11.779041,11.787165,11.527214,11.543461,7.478384,117411900
2010-08-12,11.421609,11.535337,11.380991,11.462226,7.425753,88825600
2010-08-13,11.454103,11.567831,11.429732,11.429732,7.404704,64041200
2010-08-16,11.397238,11.445979,11.340374,11.397238,7.383651,68304400
2010-08-17,11.519090,11.600325,11.421609,11.486596,7.441542,79810000
2010-08-18,11.478473,11.616571,11.437856,11.535337,7.473118,68372300
2010-08-19,11.462226,11.510966,11.242892,11.267262,7.299447,124471200
2010-08-20,11.226645,11.259139,11.129164,11.234769,7.278395,81137400
2010-08-23,11.291633,11.307879,11.153534,11.161657,7.231033,66239300
2010-08-24,11.023558,11.080422,10.942324,10.974817,7.109990,116123400
2010-08-25,10.893582,11.047929,10.796101,11.007311,7.131039,90747800
2010-08-26,11.064176,11.137287,10.885459,10.917953,7.073150,88256500
2010-08-27,10.966694,11.161657,10.844842,11.153534,7.225770,107590100
2010-08-30,11.104793,11.129164,10.909829,10.917953,7.073150,78521700
2010-08-31,10.909829,11.056052,10.828594,11.015434,7.136302,131233400
2010-09-01,11.153534,11.454103,11.145411,11.437856,7.409967,163002400
2010-09-02,11.429732,11.551584,11.421609,11.551584,7.483643,82205000
2010-09-03,11.705930,11.795288,11.657189,11.795288,7.641524,108976100
2010-09-07,11.681560,11.689683,11.510966,11.527214,7.467854,69632900
2010-09-08,11.567831,11.722178,11.559708,11.640943,7.541534,63465500
2010-09-09,11.819659,11.884646,11.714053,11.787165,7.636263,100214200
2010-09-10,11.795288,11.844029,11.754671,11.803411,7.646789,48934700
2010-09-13,11.982128,12.087733,11.982128,12.055240,7.809933,93892600
2010-09-14,12.014623,12.038993,11.884646,11.949635,7.741519,81324600
2010-09-15,11.860276,12.006498,11.819659,11.990252,7.767834,91766300
2010-09-16,11.949635,11.965881,11.876523,11.957758,7.746781,65492600
2010-09-17,11.974005,11.998375,11.852153,11.868400,7.706171,80925000
2010-09-20,11.884646,12.128351,11.868400,12.095857,7.853857,64263000
2010-09-21,12.128351,12.160845,11.941511,11.982128,7.780015,103705400
2010-09-22,11.900893,12.014623,11.762794,11.787165,7.653422,114854100
2010-09-23,11.673436,11.770918,11.535337,11.559708,7.505736,127349600
2010-09-24,11.697806,11.868400,11.689683,11.868400,7.706171,94600200
2010-09-27,11.868400,11.868400,11.714053,11.738424,7.621777,76726300
2010-09-28,11.779041,11.795288,11.624696,11.762794,7.637599,101337700
2010-09-29,11.722178,11.779041,11.616571,11.673436,7.579581,82229600
2010-09-30,11.746548,11.884646,11.649066,11.657189,7.569031,132372900
2010-10-01,11.770918,11.819659,11.649066,11.779041,7.648149,162650700
2010-10-04,11.762794,11.852153,11.640943,11.697806,7.595404,105309000
2010-10-05,11.803411,12.014623,11.714053,11.965881,7.769464,163731100
